playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,deathDate,birthDate
alcanar01,1991,10,29,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Arismendy,Alcantara,Arismendy,170,70,B,R,2014-07-09,2017-08-09,alcaa001,alcanar01,NA,1991-10-29
alcanis01,1973,5,6,D.R.,Peravia,Bani,NA,NA,NA,NA,NA,NA,Israel,Alcantara,Israel,180,74,R,R,2000-06-25,2002-08-22,alcai001,alcanis01,NA,1973-05-06
alcanra01,1992,12,4,D.R.,Barahona,Barahona,NA,NA,NA,NA,NA,NA,Raul,Alcantara,Raul,220,76,R,R,2016-09-05,2017-09-29,alcar001,alcanra01,NA,1992-12-04
alcansa01,1995,9,7,D.R.,Azua,Azua,NA,NA,NA,NA,NA,NA,Sandy,Alcantara,Sandy,170,76,R,R,2017-09-03,2018-09-30,alcas001,alcansa01,NA,1995-09-07
alcanvi01,1993,4,3,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Victor,Alcantara,Victor Alfonso,190,74,R,R,2017-09-05,2018-09-28,alcav001,alcanvi01,NA,1993-04-03
aldresc01,1968,6,12,USA,MI,Flint,NA,NA,NA,NA,NA,NA,Scott,Aldred,Scott Phillip,195,76,L,L,1990-09-09,2000-05-29,aldrs001,aldresc01,NA,1968-06-12
aldrico01,1979,6,13,USA,TX,San Angelo,NA,NA,NA,NA,NA,NA,Cory,Aldridge,Cory Jerome,210,72,L,R,2001-09-05,2010-07-11,aldrc001,aldrico01,NA,1979-06-13
alexama02,1971,3,20,D.R.,San Pedro de Macoris,San Pedro de Macoris,NA,NA,NA,NA,NA,NA,Manny,Alexander,Manuel de Jesus,150,70,R,R,1992-09-18,2006-09-28,alexm001,alexama02,NA,1971-03-20
alexasc01,1989,7,10,USA,CA,Santa Rosa,NA,NA,NA,NA,NA,NA,Scott,Alexander,Scott Alain,190,74,L,L,2015-09-02,2018-10-01,alexs001,alexasc02,NA,1989-07-10
alfarja01,1977,11,29,USA,TX,San Antonio,NA,NA,NA,NA,NA,NA,Jason,Alfaro,Jason,185,70,R,R,2004-09-09,2004-10-01,alfaj001,alfarja01,NA,1977-11-29
alfarjo01,1993,6,11,Colombia,Sucre,Sincelejo,NA,NA,NA,NA,NA,NA,Jorge,Alfaro,Jorge Mario,225,74,R,R,2016-09-12,2018-09-29,alfaj002,alfarjo01,NA,1993-06-11
alfonan01,1972,4,16,D.R.,La Romana,La Romana,NA,NA,NA,NA,NA,NA,Antonio,Alfonseca,Antonio,250,77,R,R,1997-06-17,2007-09-23,alfoa001,alfonan01,NA,1972-04-16
alfoned01,1973,11,8,Venezuela,Miranda,Santa Teresa del Tuy,NA,NA,NA,NA,NA,NA,Edgardo,Alfonzo,Edgardo Antonio,210,71,R,R,1995-04-26,2006-06-11,alfoe001,alfoned01,NA,1973-11-08
alfonel01,1979,2,7,Venezuela,Anzoategui,Puerto La Cruz,NA,NA,NA,NA,NA,NA,Eliezer,Alfonzo,Eliezer Jesus,220,71,R,R,2006-06-03,2011-09-13,alfoe002,alfonel01,NA,1979-02-07
alforan01,1994,7,20,USA,MS,Columbia,NA,NA,NA,NA,NA,NA,Anthony,Alford,Anthony Joseph,215,73,R,R,2017-05-19,2018-09-29,alfoa002,alforan01,NA,1994-07-20
alicelu01,1965,7,29,P.R.,NA,Santurce,NA,NA,NA,NA,NA,NA,Luis,Alicea,Luis Rene,165,69,B,R,1988-04-23,2002-09-25,alicl001,alicelu01,NA,1965-07-29
allarko01,1997,8,13,USA,CA,Anaheim,NA,NA,NA,NA,NA,NA,Kolby,Allard,Kolby Kenneth,190,73,L,L,2018-07-31,2018-08-17,allak001,allarko01,NA,1997-08-13
allenbr01,1986,2,12,USA,TX,Conroe,NA,NA,NA,NA,NA,NA,Brandon,Allen,Brandon Durell,230,74,L,R,2009-08-22,2012-05-09,alleb001,allenbr01,NA,1986-02-12
allench01,1975,2,6,USA,TX,Dallas,NA,NA,NA,NA,NA,NA,Chad,Allen,John Chad,195,73,R,R,1999-04-06,2005-06-02,allec001,allench01,NA,1975-02-06
allenco01,1988,11,20,USA,FL,Orlando,NA,NA,NA,NA,NA,NA,Cody,Allen,Cody Edward,210,73,R,R,2012-07-20,2018-09-29,allec002,allenco01,NA,1988-11-20
allendu01,1972,8,9,USA,OK,Oklahoma City,NA,NA,NA,NA,NA,NA,Dusty,Allen,Dustin R.,215,76,R,R,2000-07-01,2000-10-01,alled001,allendu01,NA,1972-08-09
allengr01,1993,3,15,USA,CA,San Diego,NA,NA,NA,NA,NA,NA,Greg,Allen,Gregory Lomack,175,72,B,R,2017-09-01,2018-09-30,alleg002,allengr01,NA,1993-03-15
allenlu01,1978,8,4,USA,GA,Covington,NA,NA,NA,NA,NA,NA,Luke,Allen,Lucas Gale,208,74,L,R,2002-09-10,2003-07-17,allel001,allenlu01,NA,1978-08-04
almanar01,1972,10,26,USA,TX,El Paso,NA,NA,NA,NA,NA,NA,Armando,Almanza,Armando,205,75,L,L,1999-07-29,2005-07-20,almaa001,almanar01,NA,1972-10-26
almanca01,1973,11,6,D.R.,Santiago,Santiago,NA,NA,NA,NA,NA,NA,Carlos,Almanzar,Carlos Manuel,166,74,R,R,1997-09-04,2005-04-30,almac001,almanca01,NA,1973-11-06
almonab01,1989,6,27,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Abraham,Almonte,Abraham,210,69,B,R,2013-08-30,2018-07-10,almoa001,almonab01,NA,1989-06-27
almoned01,1976,12,17,D.R.,Santiago,Santiago,NA,NA,NA,NA,NA,NA,Edwin,Almonte,Edwin,200,75,R,R,2003-07-07,2003-09-10,almoe002,almoned01,NA,1976-12-17
almoner01,1978,2,1,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Erick,Almonte,Erick R.,245,74,R,R,2001-09-04,2011-04-25,almoe001,almoner01,NA,1978-02-01
almonhe01,1975,10,17,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Hector,Almonte,Hector Radhames,190,74,R,R,1999-07-26,2003-09-28,almoh001,almonhe01,NA,1975-10-17
almonmi01,1993,4,4,D.R.,Santiago,Santiago,NA,NA,NA,NA,NA,NA,Miguel,Almonte,Miguel Emilio,210,74,R,R,2015-09-01,2018-09-29,almom001,almonmi01,NA,1993-04-04
almonye01,1994,6,4,USA,FL,Miami,NA,NA,NA,NA,NA,NA,Yency,Almonte,Yency,205,75,B,R,2018-06-21,2018-09-25,almoy001,almonye01,NA,1994-06-04
almonzo01,1989,6,10,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Zoilo,Almonte,Zoilo Manuel,205,72,B,R,2013-06-19,2014-07-30,almoz001,almonzo01,NA,1989-06-10
almoral01,1994,4,16,USA,FL,Hialeah,NA,NA,NA,NA,NA,NA,Albert,Almora,Reinaldo Albert,190,74,R,R,2016-06-07,2018-10-01,almoa002,almoral01,NA,1994-04-16
alomaro01,1968,2,5,P.R.,NA,Ponce,NA,NA,NA,NA,NA,NA,Roberto,Alomar,Roberto,184,72,B,R,1988-04-22,2004-09-05,alomr001,alomaro01,NA,1968-02-05
alomasa02,1966,6,18,P.R.,NA,Salinas,NA,NA,NA,NA,NA,NA,Sandy,Alomar,Santos,200,77,R,R,1988-09-30,2007-09-30,aloms001,alomasa02,NA,1966-06-18
alonsyo01,1987,4,8,Cuba,La Habana,La Habana,NA,NA,NA,NA,NA,NA,Yonder,Alonso,Yonder,230,73,L,R,2010-09-01,2018-09-30,alony001,alonsyo01,NA,1987-04-08
aloumo01,1966,7,3,USA,GA,Atlanta,NA,NA,NA,NA,NA,NA,Moises,Alou,Moises Rojas,185,75,R,R,1990-07-26,2008-06-10,aloum001,aloumo01,NA,1966-07-03
altavda01,1992,9,8,USA,PA,McKeesport,NA,NA,NA,NA,NA,NA,Dan,Altavilla,Daniel,200,71,R,R,2016-08-27,2018-06-06,altad001,altavda01,NA,1992-09-08
altheaa01,1991,1,14,Germany,Rhineland-Palatinate,Landstuhl,NA,NA,NA,NA,NA,NA,Aaron,Altherr,Aaron Samuel,215,77,R,R,2014-06-16,2018-09-24,altha001,altheaa01,NA,1991-01-14
altuvjo01,1990,5,6,Venezuela,Carabobo,Puerto Cabello,NA,NA,NA,NA,NA,NA,Jose,Altuve,Jose Carlos,165,66,R,R,2011-07-20,2018-09-30,altuj001,altuvjo01,NA,1990-05-06
alvarab01,1982,10,17,USA,CA,Los Angeles,NA,NA,NA,NA,NA,NA,Abe,Alvarez,Abraham,190,74,L,L,2004-07-22,2006-05-21,alvaa001,alvarab01,NA,1982-10-17
alvarcl01,1968,5,18,Venezuela,Anzoategui,Guanta,NA,NA,NA,NA,NA,NA,Clemente,Alvarez,Clemente Rafael,180,71,R,R,2000-09-19,2000-10-01,alvac001,alvarcl01,NA,1968-05-18
alvarda01,1989,1,17,D.R.,Santiago,Santiago,NA,NA,NA,NA,NA,NA,Dario,Alvarez,Dario Rafael,170,73,L,L,2014-09-03,2017-06-28,alvad001,alvarda01,NA,1989-01-17
alvarda02,1988,11,7,Cuba,NA,Camaguey,NA,NA,NA,NA,NA,NA,Dariel,Alvarez,Dariel,180,74,R,R,2015-08-28,2016-07-25,alvad002,alvarda02,NA,1988-11-07
alvarga01,1974,3,6,Mexico,Sonora,Navojoa,NA,NA,NA,NA,NA,NA,Gabe,Alvarez,Gabriel de Jesus,185,73,R,R,1998-06-22,2000-09-30,alvag001,alvarga01,NA,1974-03-06
alvarhe01,1990,4,18,Venezuela,Carabobo,Valencia,NA,NA,NA,NA,NA,NA,Henderson,Alvarez,Henderson Javier,205,72,R,R,2011-08-10,2017-09-30,alvah001,alvarhe01,NA,1990-04-18
alvarjo02,1989,5,6,Venezuela,Anzoategui,Barcelona,NA,NA,NA,NA,NA,NA,Jose,Alvarez,Jose Ricardo,180,71,L,L,2013-06-09,2018-09-26,alvaj003,alvarjo02,NA,1989-05-06
alvarjo03,1995,5,21,Venezuela,Zulia,Maracaibo,NA,NA,NA,NA,NA,NA,Jose,Alvarado,Jose Antonio,240,72,L,L,2017-05-03,2018-09-28,alvaj004,alvarjo03,NA,1995-05-21
alvarju01,1973,8,9,USA,FL,Coral Gables,NA,NA,NA,NA,NA,NA,Juan,Alvarez,Juan M.,180,73,L,L,1999-09-01,2003-06-03,alvaj002,alvarju01,NA,1973-08-09
alvarpe01,1987,2,6,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Pedro,Alvarez,Pedro Manuel,250,75,L,R,2010-06-16,2018-06-15,alvap001,alvarpe01,NA,1987-02-06
alvarrj01,1991,6,8,USA,FL,West Palm Beach,NA,NA,NA,NA,NA,NA,R. J.,Alvarez,Roy Emilio,225,74,R,R,2014-09-03,2015-09-29,alvar001,alvarrj01,NA,1991-06-08
alvarto01,1979,5,10,Venezuela,Distrito Federal,Caracas,NA,NA,NA,NA,NA,NA,Tony,Alvarez,Antonio Enrique,200,73,R,R,2002-09-04,2004-10-03,alvat002,alvarto01,NA,1979-05-10
alvarvi01,1976,11,8,Mexico,Sinaloa,Culiacan,NA,NA,NA,NA,NA,NA,Victor,Alvarez,Victor Aurelio,150,70,L,L,2002-07-30,2003-08-26,alvav001,alvarvi01,NA,1976-11-08
alvarwi01,1970,3,24,Venezuela,Zulia,Maracaibo,NA,NA,NA,NA,NA,NA,Wilson,Alvarez,Wilson Eduardo,175,73,L,L,1989-07-24,2005-09-28,alvaw001,alvarwi01,NA,1970-03-24
amarari01,1962,4,1,USA,CA,Visalia,NA,NA,NA,NA,NA,NA,Rich,Amaral,Richard Louis,175,72,R,R,1991-05-27,2000-06-14,amarr001,amarari01,NA,1962-04-01
amarial01,1989,4,6,Venezuela,Anzoategui,Barcelona,NA,NA,NA,NA,NA,NA,Alexi,Amarista,Alexi Jose,160,66,L,R,2011-04-26,2017-10-01,amara001,amarial01,NA,1989-04-06
ambrech01,1979,12,19,USA,TX,Beaumont,NA,NA,NA,NA,NA,NA,Chip,Ambres,Raymond Payne,190,73,R,R,2005-07-20,2008-09-28,ambrc001,ambrech01,NA,1979-12-19
ambrihe01,1984,5,24,USA,CA,Orange,NA,NA,NA,NA,NA,NA,Hector,Ambriz,Hector,235,74,L,R,2010-04-30,2014-05-07,ambrh001,ambrihe01,NA,1984-05-24
amesst01,1988,3,15,USA,WA,Vancouver,NA,NA,NA,NA,NA,NA,Steve,Ames,Steven C.,205,73,R,R,2013-07-30,2013-08-11,amess001,amesst01,NA,1988-03-15
amezaal01,1978,1,16,Mexico,Sonora,Ciudad Obregon,NA,NA,NA,NA,NA,NA,Alfredo,Amezaga,Alfredo,165,71,B,R,2002-05-24,2011-09-04,ameza001,amezaal01,NA,1978-01-16
anderbr01,1964,1,18,USA,MD,Silver Spring,NA,NA,NA,NA,NA,NA,Brady,Anderson,Brady Kevin,170,73,L,L,1988-04-04,2002-05-20,andeb001,anderbr01,NA,1964-01-18
anderbr02,1972,4,26,USA,VA,Portsmouth,NA,NA,NA,NA,NA,NA,Brian,Anderson,Brian James,190,73,B,L,1993-09-10,2005-05-08,andeb002,anderbr02,NA,1972-04-26
anderbr03,1982,3,11,USA,AZ,Tucson,NA,NA,NA,NA,NA,NA,Brian,Anderson,Brian Nikola,220,74,R,R,2005-08-16,2009-10-04,andeb003,anderbr03,NA,1982-03-11
anderbr04,1988,2,1,USA,TX,Midland,NA,NA,NA,NA,NA,NA,Brett,Anderson,Brett Franklin,230,75,L,L,2009-04-10,2018-09-30,andeb004,anderbr04,NA,1988-02-01
anderbr05,1986,12,16,USA,CA,Thousand Oaks,NA,NA,NA,NA,NA,NA,Bryan,Anderson,Bryan Douglas,200,73,L,R,2010-04-15,2015-10-04,andeb005,anderbr05,NA,1986-12-16
anderbr06,1993,5,19,USA,OK,Edmond,NA,NA,NA,NA,NA,NA,Brian,Anderson,Brian Wade,185,75,R,R,2017-09-01,2018-09-29,andeb006,anderbr06,NA,1993-05-19
anderch01,1987,11,30,USA,TX,Wichita Falls,NA,NA,NA,NA,NA,NA,Chase,Anderson,Robert Chase,200,73,R,R,2014-05-11,2018-09-18,andec001,anderch01,NA,1987-11-30
anderco01,1990,9,14,USA,CA,Quincy,NA,NA,NA,NA,NA,NA,Cody,Anderson,Cody Andrew,240,76,R,R,2015-06-21,2016-09-28,andec002,anderco01,NA,1990-09-14
anderdr01,1981,6,9,USA,NE,Kearney,NA,NA,NA,NA,NA,NA,Drew,Anderson,Drew Thomas,195,74,L,R,2006-09-11,2006-10-01,anded002,anderdr01,NA,1981-06-09
anderdr02,1994,3,22,USA,NV,Reno,NA,NA,NA,NA,NA,NA,Drew,Anderson,Andrew James,185,75,R,R,2017-08-01,2018-09-28,anded003,anderdr02,NA,1994-03-22
anderga01,1972,6,30,USA,CA,Los Angeles,NA,NA,NA,NA,NA,NA,Garret,Anderson,Garret Joseph,190,75,L,L,1994-07-27,2010-08-06,andeg001,anderga01,NA,1972-06-30
anderja01,1979,6,9,USA,IL,Danville,NA,NA,NA,NA,NA,NA,Jason,Anderson,Jason Roger,188,72,L,R,2003-03-31,2005-07-15,andej003,anderja01,NA,1979-06-09
anderji02,1976,1,22,USA,VA,Portsmouth,NA,NA,NA,NA,NA,NA,Jimmy,Anderson,James Drew,195,73,L,L,1999-07-04,2004-07-21,andej002,anderji02,NA,1976-01-22
anderjo03,1982,8,10,USA,KY,Somerset,NA,NA,NA,NA,NA,NA,Josh,Anderson,Joshua Aaron,195,74,L,R,2007-09-02,2009-10-02,andej004,anderjo03,NA,1982-08-10
anderju01,1992,9,28,USA,TX,Houston,NA,NA,NA,NA,NA,NA,Justin,Anderson,Justin Charles,220,75,L,R,2018-04-23,2018-09-22,andej005,anderju01,NA,1992-09-28
anderla03,1987,9,25,USA,CA,Oakland,NA,NA,NA,NA,NA,NA,Lars,Anderson,Lars Eric,215,76,L,L,2010-09-06,2012-05-01,andel002,anderla03,NA,1987-09-25
anderma01,1976,8,17,USA,KY,Louisville,NA,NA,NA,NA,NA,NA,Matt,Anderson,Matthew Jason,200,76,R,R,1998-06-25,2005-07-01,andem002,anderma01,NA,1976-08-17
